United Nations,Swineflu,Centroids,Country,Wikipedia,WHO-Covid,
Afghanistan,,Afghanistan,Afghanistan,Afghanistan,Afghanistan,
Albania,,Albania,Albania,Albania,Albania,
Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,
American Samoa,,American Samoa,,,American Samoa,
Andorra,,Andorra,Andorra,Andorra,Andorra,
Angola,,Angola,Angola,Angola,Angola,
Anguilla,,Anguilla,,Anguilla (UK),Anguilla,
Antigua and Barbuda,Antigua and Barbuda,Antigua and Barb.,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,
Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,
Armenia,,Armenia,Armenia,Armenia,Armenia,
Aruba,"Netherlands, Aruba",Aruba,Aruba,,Aruba,
Australia,Australia,Australia,Australia,Australia,Australia,
Austria,Austria,Austria,Austria,Austria,Austria,
Azerbaijan,,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,
Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,
Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,
Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,
Barbados,Barbados,Barbados,Barbados,Barbados,Barbados,
Belarus,,Belarus,Belarus,Belarus,Belarus,
Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,
Belize,,Belize,Belize,Belize,Belize,
Benin,,Benin,Benin,,Benin,
Bermuda,"Bermuda, UKOT",Bermuda,,Bermuda (UK),Bermuda,
Bhutan,,Bhutan,Bhutan,Bhutan,Bhutan,
Bolivia (Plurinational State of),Bolivia,Bolivia,Bolivia (Plurinational State of),Bolivia,Bolivia (Plurinational State of),
"Bonaire, Sint Eustatius and Saba",,,,,"Bonaire, Sint Eustatius and Saba",
Bosnia and Herzegovina,Bosnia and Hezegovina,Bosnia and Herz.,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,
Botswana,,Botswana,,Botswana,Botswana,
Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,
British Virgin Islands,"British Virgin Islands, UKOT",British Virgin Is.,,British Virgin Islands (UK),British Virgin Islands,
Brunei Darussalam,Brunei Darussalam,Brunei,Brunei Darussalam,Brunei,Brunei Darussalam,
Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,
Burkina Faso,,Burkina Faso,Burkina Faso,,Burkina Faso,
Burundi,,Burundi,,Burundi,Burundi,
Côte d'Ivoire,Cote d'Ivoire,CÃ´te d'Ivoire,CÃ´te d'Ivoire,C�te d'Ivoire,C�te d�Ivoire,
Cabo Verde,Cap Verde,Cape Verde,Cabo Verde,Cape Verde,Cabo Verde,
Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,
Cameroon,,Cameroon,Cameroon,Cameroon,Cameroon,
Canada,Canada,Canada,Canada,Canada,Canada,
Cayman Islands,"Cayman Islands, UKOT",Cayman Is.,Cayman Islands,Cayman Islands (UK),Cayman Islands,
Central African Republic,,Central African Rep.,Central African Republic,,Central African Republic,
Chad,,Chad,Chad,Chad,Chad,
Channel Islands,,,Channel Islands,,,
Chile,Chile,Chile,Chile,Chile,Chile,
China,China,China,China,China (mainland),China,
"China, Hong Kong SAR",,,"China, Hong Kong SAR",Hong Kong,,
"China, Macao SAR",Macau,,"China, Macao SAR",Macau (PRC),,
"China, Taiwan Province of China",,Taiwan,"China, Taiwan Province of China",Taiwan,,
Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,
Comoros,,Comoros,,,Comoros,
Congo,,Congo,Congo,Republic of the Congo,Congo,
Cook Islands,Cook Island,Cook Is.,,Cook Islands (NZ),Cook Islands,
Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,
Croatia,Croatia,Croatia,Croatia,Croatia,Croatia,
Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,
Curaçao,"Netherlands, Curacao, OT",CuraÃ§ao,CuraÃ§ao,,Cura�ao,
Curaçao,"Netherlands Antilles, Curaçao",CuraÃ§ao,,,,
Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,
Czechia,Czech Republic,Czech Rep.,Czechia,Czech Republic,Czechia,
Dem. People's Republic of Korea,,Dem. Rep. Korea,,North Korea,Democratic People's Republic of Korea,
Democratic Republic of the Congo,,Dem. Rep. Congo,Democratic Republic of the Congo,Democratic Republic of the Congo,Democratic Republic of the Congo,
Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,
Djibouti,,Djibouti,Djibouti,Djibouti,Djibouti,
Dominica,Dominica,Dominica,Dominica,Dominica,Dominica,
Dominican Republic,Dominican Republic,Dominican Rep.,Dominican Republic,Dominican Republic,Dominican Republic,
Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,
Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,
El Salvador,El Salvador,El Salvador,El Salvador,El Salvador,El Salvador,
Equatorial Guinea,,Eq. Guinea,Equatorial Guinea,,Equatorial Guinea,
Eritrea,,Eritrea,Eritrea,,Eritrea,
Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,
Eswatini,,,Eswatini,,Eswatini,
Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,
Falkland Islands (Malvinas),,Falkland Is.,,Falkland Islands (UK),Falkland Islands (Malvinas),
Faroe Islands,,Faeroe Is.,Faroe Islands,Faroe Islands,Faroe Islands,
Fiji,Fiji,Fiji,Fiji,Fiji,Fiji,
Finland,Finland,Finland,Finland,Finland,Finland,
France,France,France,France,France,France,
French Guiana,,,French Guiana,,French Guiana,
French Polynesia,"France, French Polynesia, FOC",Fr. Polynesia,,,French Polynesia,
French Polynesia,"French Polynesia, FOC",Fr. Polynesia,,,,
Gabon,,Gabon,Gabon,Gabon,Gabon,
Gambia,,Gambia,Gambia,,Gambia,
Georgia,,Georgia,Georgia,Georgia,Georgia,
Germany,Germany,Germany,Germany,Germany,Germany,
Ghana,,Ghana,Ghana,Ghana,Ghana,
Gibraltar,,,Gibraltar,Gibraltar (UK),Gibraltar,
Greece,Greece,Greece,Greece,Greece,Greece,
Greenland,,Greenland,Greenland,Greenland,Greenland,
Grenada,,Grenada,Grenada,Grenada,Grenada,
Guadeloupe,"Guadaloupe, FOC",,Guadeloupe,Guatemala,Guadeloupe,
Guam,,Guam,Guam,,Guam,
Guatemala,Guatemala,Guatemala,Guatemala,,Guatemala,
Guinea,,Guinea,Guinea,Guinea,Guinea,Guernsey
Guinea-Bissau,,Guinea-Bissau,,,Guinea-Bissau,
Guyana,Guyana,Guyana,Guyana,Guyana,Guyana,
Haiti,,Haiti,Haiti,Haiti,Haiti,
Holy See,,Vatican,Holy See,,Holy See,
Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,
Hungary,Hungary,Hungary,Hungary,Hungary,Hungary,
Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,
India,India,India,India,India,India,
Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,
Iran (Islamic Republic of),Iran,Iran,Iran (Islamic Republic of),Iran,Iran (Islamic Republic of),
Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,
Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,
Isle of Man,"United Kingdom, Isle of Man, Crown Dependency",Isle of Man,,Isle of Man (UK),Isle of Man,
Isle of Man,"Isle of Man, Crown Dependency",Isle of Man,,,,
Israel,Israel,Israel,Israel,Israel,Israel,
Israel,West Bank and Gaza Strip,Israel,,,,
Italy,Italy,Italy,Italy,Italy,Italy,
Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,
Japan,Japan,Japan,Japan,Japan,Japan,
Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jersey
Kazakhstan,,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,
Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,
Kiribati,,Kiribati,,Kiribati,Kiribati,
Kuwait,Kuwait,Kuwait,Kuwait,Kuwait,Kuwait,Kosovo[1]
Kyrgyzstan,,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,
Lao People's Democratic Republic,Laos,Lao PDR,Lao People's Democratic Republic,Laos,Lao People's Democratic Republic,
Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,
Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,
Lesotho,,Lesotho,,Lesotho,Lesotho,
Liberia,,Liberia,Liberia,,Liberia,
Libya,,Libya,Libya,Libya,Libya,
Liechtenstein,Libya,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,
Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,
Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,
Madagascar,,Madagascar,Madagascar,Madagascar,Madagascar,
Malawi,,Malawi,,,Malawi,
Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,
Maldives,,Maldives,Maldives,Maldives,Maldives,
Mali,,Mali,,Mali,Mali,
Malta,Malta,Malta,Malta,Malta,Malta,
Marshall Islands,,Marshall Is.,,Marshall Islands,Marshall Islands,
Martinique,"Martinique, FOC",,Martinique,,Martinique,
Mauritania,,Mauritania,Mauritania,Mauritania,Mauritania,
Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,
Mayotte,,,Mayotte,,Mayotte,
Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,
Micronesia (Fed. States of),,Micronesia,,Micronesia,Micronesia (Federated States of),
Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,
Mongolia,,Mongolia,Mongolia,Mongolia,Mongolia,
Montenegro,Montenegro,Montenegro,Montenegro,Montenegro,Montenegro,
Montserrat,,Montserrat,,Montserrat,Montserrat,
Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,
Mozambique,,Mozambique,Mozambique,Mozambique,Mozambique,
Myanmar,Myanmar,Myanmar,,Myanmar,Myanmar,
Namibia,,Namibia,Namibia,Namibia,Namibia,
Nauru,,Nauru,,Nauru,Nauru,
Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,
Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,
New Caledonia,,New Caledonia,,,New Caledonia,
New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,
Nicaragua,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Nicaragua,
Niger,,Niger,Niger,Niger,Niger,
Nigeria,,Nigeria,Nigeria,Nigeria,Nigeria,
Niue,,Niue,,,Niue,
North Macedonia,The former Yugoslav Republic of Macedonia,,North Macedonia,Macedonia,North Macedonia,
Northern Mariana Islands,,,,,Northern Mariana Islands (Commonwealth of the),
Norway,Norway,Norway,Norway,Norway,Norway,
Oman,Oman,Oman,Oman,Oman,Oman,
Pakistan,,Pakistan,Pakistan,Pakistan,Pakistan,
Palau,Palau,Palau,,Palau,Palau,
Panama,Panama,Panama,Panama,Panama,Panama,
Papua New Guinea,Papua New Guinea,Papua New Guinea,Papua New Guinea,Papua New Guinea,Papua New Guinea,
Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,
Peru,Peru,Peru,Peru,Peru,Peru,
Philippines,Philippines,Philippines,Philippines,Philippines,Philippines,
Poland,Poland,Poland,Poland,Poland,Poland,Pitcairn Islands
Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,
Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,,Puerto Rico,
Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,
Réunion,,,Reunion,,R�union,
Republic of Korea,"Korea, Republic of",Korea,Republic of Korea,South Korea,Republic of Korea,
Republic of Moldova,,,Republic of Moldova,Moldova,Republic of Moldova,
Romania,Romania,Romania,Romania,Romania,Romania,
Russian Federation,Russia,Russia,Russian Federation,Russia,Russian Federation,
Rwanda,,Rwanda,Rwanda,Rwanda,Rwanda,
Saint Barthélemy,,St-BarthÃ©lemy,Saint BarthÃ©lemy,,Saint Barth�lemy,
Saint Helena,,Saint Helena,,,Saint Helena,
Saint Kitts and Nevis,,,,St. Kitts and Nevis,Saint Kitts and Nevis,
Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,,Saint Lucia,
Saint Martin (French part),"Netherlands Antilles, Sint Maarten",St-Martin,Saint Martin (French part),,Saint Martin,
Saint Martin (French part),"Saint Martin, FOC",,,,,
Saint Pierre and Miquelon,,St. Pierre and Miquelon,,,Saint Pierre and Miquelon,
Saint Vincent and the Grenadines,,,Saint Vincent and the Grenadines,,Saint Vincent and the Grenadines,
Samoa,Samoa,Samoa,,Samoa,Samoa,
San Marino,,San Marino,San Marino,San Marino,San Marino,
Sao Tome and Principe,,SÃ£o TomÃ© and Principe,,S�o Tom� and Pr�ncipe,Sao Tome and Principe,
Saudi Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia,
Senegal,,Senegal,Senegal,Senegal,Senegal,
Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,
Seychelles,,Seychelles,Seychelles,Seychelles,Seychelles,
Sierra Leone,,Sierra Leone,,,Sierra Leone,
Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,
Sint Maarten (Dutch part),,Sint Maarten,,,Sint Maarten,
Slovakia,Slovakia,Slovakia,Slovakia,Slovakia,Slovakia,
Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,
Solomon Islands,,Solomon Is.,,Solomon Islands,Solomon Islands,
Somalia,,Somalia,Somalia,Somalia,Somalia,
South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,
South Sudan,,S. Sudan,,,South Sudan,
Spain,Spain,Spain,Spain,Spain,Spain,
Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,
State of Palestine,,,State of Palestine,Palestinian Territories,"occupied Palestinian territory, including east Jerusalem",
Sudan,,Sudan,Sudan,Sudan,Sudan,
Suriname,Suriname,Suriname,Suriname,Suriname,Suriname,
Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,
Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,
Syrian Arab Republic,Syria,Syria,Syrian Arab Republic,Syria,Syrian Arab Republic,
Tajikistan,,Tajikistan,,Tajikistan,Tajikistan,
Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,
Timor-Leste,,Timor-Leste,Timor-Leste,Timor-Leste,Timor-Leste,
Togo,,Togo,Togo,,Togo,
Tokelau,,,,,Tokelau,
Tonga,,Tonga,,Tonga,Tonga,
Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,
Tunisia,Tunisia,Tunisia,Tunisia,Tunisia,Tunisia,
Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,
Turkmenistan,,Turkmenistan,,,Turkmenistan,
Turks and Caicos Islands,,Turks and Caicos Is.,,Turks and Caicos Islands (UK),Turks and Caicos Islands,
Tuvalu,,,,Tuvalu,Tuvalu,
Uganda,Uganda,Uganda,Uganda,Uganda,Uganda,
Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,
United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,
United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,The United Kingdom,
United Kingdom,"United Kingdom, Jersey, Crown Dependency",,,Jersey (UK),,
United Kingdom,"Guernsey, Crown Dependency",,,Guernsey (UK),,
United Kingdom,"Jersey, Crown Dependency",,,,,
United Republic of Tanzania,,Tanzania,United Republic of Tanzania,Tanzania,United Republic of Tanzania,
United States of America,United States of America,United States,United States of America,United States,United States of America,
United States Virgin Islands,Virgin Islands,U.S. Virgin Is.,,,United States Virgin Islands,
Uruguay,Uruguay,Uruguay,Uruguay,Uruguay,Uruguay,
Uzbekistan,,Uzbekistan,Uzbekistan,,Uzbekistan,
Vanuatu,Vanuatu,Vanuatu,,Vanuatu,Vanuatu,
Venezuela (Bolivarian Republic of),Venezuela,Venezuela,Venezuela (Bolivarian Republic of),Venezuela,Venezuela (Bolivarian Republic of),
Viet Nam,Viet Nam,Vietnam,Viet Nam,Vietnam,Viet Nam,
Wallis and Futuna Islands,,Wallis and Futuna Is.,,,Wallis and Futuna,
Western Sahara,,W. Sahara,,,,
Yemen,Yemen,Yemen,,Yemen,Yemen,
Zambia,,Zambia,Zambia,Zambia,Zambia,
Zimbabwe,,Zimbabwe,Zimbabwe,Zimbabwe,Zimbabwe,
